POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
40,Emil,Holm,DEN,1996,8,00:09:15,00:01:03,00:27:39,00:00:26,00:17:18,00:55:42,Male
41,Seth,Rider,USA,1997,25,00:09:04,00:01:01,00:27:09,00:00:23,00:18:25,00:56:03,Male
42,Matthew,Hauser,AUS,1998,26,00:09:06,00:01:11,00:27:42,00:00:24,00:17:42,00:56:07,Male
43,Jamie,Riddle,RSA,2000,46,00:08:57,00:01:04,00:27:58,00:00:29,00:17:44,00:56:14,Male
44,Paul,Georgenthum,FRA,2000,2,00:09:33,00:01:00,00:29:06,00:00:23,00:16:17,00:56:20,Male
45,Maciej,Bruzdziak,POL,1998,50,00:09:01,00:01:03,00:27:55,00:00:27,00:18:30,00:56:58,Male
46,Clayton,Hutchins,USA,1995,49,00:09:22,00:01:01,00:30:27,00:00:23,00:16:08,00:57:23,Male
47,Peter,Rojtas,SVK,2002,57,00:09:12,00:01:04,00:28:13,00:00:23,00:19:41,00:58:35,Male
48,Grant,Sheldon,GBR,1994,44,00:09:05,00:01:04,00:28:51,00:00:30,00:20:08,00:59:40,Male
49,Lars,Holenweger,SUI,1998,52,00:09:25,00:01:03,00:30:58,00:00:23,00:18:05,00:59:55,Male
DNS,Jorik,Van Egdom,NED,1995,51,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,Male
1,Alex,Yee,GBR,1998,2,00:09:20,00:01:14,00:27:33,00:00:23,00:14:26,00:52:53,Male
2,Vasco,Vilaca,POR,1999,8,00:09:17,00:01:14,00:27:35,00:00:22,00:14:32,00:52:59,Male
3,Manoel,Messias,BRA,1996,12,00:09:40,00:01:14,00:27:15,00:00:27,00:14:32,00:53:06,Male
4,Vincent,Luis,FRA,1989,5,00:08:57,00:01:15,00:27:54,00:00:22,00:14:45,00:53:11,Male
5,Dorian,Coninx,FRA,1994,23,00:08:59,00:01:14,00:27:53,00:00:22,00:14:48,00:53:14,Male
6,Léo,Bergere,FRA,1996,1,00:09:21,00:01:16,00:27:28,00:00:21,00:14:51,00:53:15,Male
7,Roberto,Sanchez Mantecon,ESP,1996,18,00:09:26,00:01:16,00:27:23,00:00:23,00:14:52,00:53:18,Male
8,Matthew,McElroy,USA,1992,17,00:09:31,00:01:13,00:27:23,00:00:22,00:14:52,00:53:19,Male
9,Max,Studer,SUI,1996,54,00:09:32,00:01:16,00:27:22,00:00:21,00:14:51,00:53:20,Male
10,Adrien,Briffod,SUI,1994,32,00:09:30,00:01:14,00:27:25,00:00:21,00:14:57,00:53:24,Male
11,Antonio,Serrat Seoane,ESP,1995,7,00:09:22,00:01:16,00:27:32,00:00:24,00:14:57,00:53:28,Male
12,Tyler,Mislawchuk,CAN,1994,36,00:09:15,00:01:14,00:27:38,00:00:22,00:15:05,00:53:32,Male
13,Gábor,Faldum,HUN,1988,25,00:09:19,00:01:17,00:27:30,00:00:20,00:15:09,00:53:34,Male
14,Richard,Murray,NED,1989,27,00:09:34,00:01:16,00:27:15,00:00:24,00:15:08,00:53:36,Male
15,Barclay,Izzard,GBR,1998,52,00:09:29,00:01:14,00:27:26,00:00:19,00:15:11,00:53:37,Male
16,Miguel,Hidalgo,BRA,2000,24,00:09:04,00:01:18,00:27:46,00:00:23,00:15:10,00:53:39,Male
17,Sylvain,Fridelance,SUI,1995,20,00:09:22,00:01:16,00:27:32,00:00:23,00:15:10,00:53:41,Male
18,Matthew,Hauser,AUS,1998,6,00:09:06,00:01:14,00:27:47,00:00:22,00:15:16,00:53:42,Male
19,Kenji,Nener,JPN,1993,14,00:09:07,00:01:14,00:27:47,00:00:23,00:15:14,00:53:43,Male
20,Jamie,Riddle,RSA,2000,34,00:09:00,00:01:14,00:27:51,00:00:22,00:15:20,00:53:46,Male
21,Lasse Nygaard,Priester,GER,1995,15,00:09:12,00:01:12,00:27:44,00:00:25,00:15:18,00:53:49,Male
22,Brandon,Copeland,AUS,1996,31,00:09:27,00:01:14,00:27:24,00:00:19,00:15:30,00:53:51,Male
23,Joao,Pereira,POR,1987,46,00:09:22,00:01:16,00:27:32,00:00:21,00:15:25,00:53:53,Male
24,Michele,Sarzilla,ITA,1988,16,00:09:15,00:01:17,00:27:35,00:00:22,00:15:26,00:53:54,Male
